timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
325465722,1,0,0,1,0,1,1,0,1,1,1,1,0
325971639,1,0,0,1,0,1,1,0,1,1,1,1,0
326477661,1,0,0,1,0,1,1,0,1,1,1,1,0
326983697,1,0,0,1,0,1,1,0,1,1,1,1,0
327489642,1,0,0,1,0,1,1,0,1,1,1,1,0
327996031,1,0,0,1,0,1,1,0,1,1,1,1,0
328501654,1,0,0,1,0,1,1,0,1,1,1,1,0
329007653,1,0,0,1,0,1,1,0,1,1,1,1,0
329513890,1,0,0,1,0,1,1,0,1,1,1,1,0
330019641,1,0,0,1,0,1,1,0,1,1,1,1,0
330525640,1,0,0,1,0,1,1,0,1,1,1,1,0
331031639,1,0,0,1,0,1,1,0,1,1,1,1,0
331538934,1,0,0,1,0,1,1,0,1,1,1,1,0
332044659,1,0,0,1,0,1,1,0,1,1,1,1,0
332550640,1,0,0,1,0,1,1,0,1,1,1,1,0
333056640,1,0,0,1,0,1,1,0,1,1,1,1,0
333562655,1,0,0,1,0,1,1,0,1,1,1,1,0
334068639,1,0,0,1,0,1,1,0,1,1,1,1,0
334574640,1,0,0,1,0,1,1,0,1,1,1,1,0
335081640,1,0,0,1,0,1,1,0,1,1,1,1,0
335587640,1,0,0,1,0,1,1,0,1,1,1,1,0
336093639,1,0,0,1,0,1,1,0,1,1,1,1,0
336599902,1,0,0,1,0,1,1,0,1,1,1,1,0
337105641,1,0,0,1,0,1,1,0,1,1,1,1,0
337611850,1,0,0,1,0,1,1,0,1,1,1,1,0
338117640,1,0,0,1,0,1,1,0,1,1,1,1,0
338623643,1,0,0,1,0,1,1,0,1,1,1,1,0
339129737,1,0,0,1,0,1,1,0,1,1,1,1,0
339635642,1,0,0,1,0,1,1,0,1,1,1,1,0
340141640,1,0,0,1,0,1,1,0,1,1,1,1,0
340647674,1,0,0,1,0,1,1,0,1,1,1,1,0
341153641,1,0,0,1,0,1,1,0,1,1,1,1,0
341659873,1,0,0,1,0,1,1,0,1,1,1,1,0
342166640,1,0,0,1,0,1,1,0,1,1,1,1,0
342672639,1,0,0,1,0,1,1,0,1,1,1,1,0
343178641,1,0,0,1,0,1,1,0,1,1,1,1,0
343684967,1,0,0,1,0,1,1,0,1,1,1,1,0
344191641,1,0,0,1,0,1,1,0,1,1,1,1,0
344697640,1,0,0,1,0,1,1,0,1,1,1,1,0
345205132,1,0,0,1,0,1,1,0,1,1,1,1,0
345710641,1,0,0,1,0,1,1,0,1,1,1,1,0
346217659,1,0,0,1,0,1,1,0,1,1,1,1,0
346723651,1,0,0,1,0,1,1,0,1,1,1,1,0
347229639,1,0,0,1,0,1,1,0,1,1,1,1,0
347735640,1,0,0,1,0,1,1,0,1,1,1,1,0
348241664,1,0,0,1,0,1,1,0,1,1,1,1,0
348747640,1,0,0,1,0,1,1,0,1,1,1,1,0
349253642,1,0,0,1,0,1,1,0,1,1,1,1,0
349759640,1,0,0,1,0,1,1,0,1,1,1,1,0
350265782,1,0,0,1,0,1,1,0,1,1,1,1,0
350771641,1,0,0,1,0,1,1,0,1,1,1,1,0
351277984,1,0,0,1,0,1,1,0,1,1,1,1,0
351783640,1,0,0,1,0,1,1,0,1,1,1,1,0
352289640,1,0,0,1,0,1,1,0,1,1,1,1,0
352795788,1,0,0,1,0,1,1,0,1,1,1,1,0
353301640,1,0,0,1,0,1,1,0,1,1,1,1,0
353807640,1,0,0,1,0,1,1,0,1,1,1,1,0
354313641,1,0,0,1,0,1,1,0,1,1,1,1,0
354819641,1,0,0,1,0,1,1,0,1,1,1,1,0
355326012,1,0,0,1,0,1,1,0,1,1,1,1,0
355831641,1,0,0,1,0,1,1,0,1,1,1,1,0
356337640,1,0,0,1,0,1,1,0,1,1,1,1,0
356843729,1,0,0,1,0,1,1,0,1,1,1,1,0
357349640,1,0,0,1,0,1,1,0,1,1,1,1,0
357856945,1,0,0,1,0,1,1,0,1,1,1,1,0
358362640,1,0,0,1,0,1,1,0,1,1,1,1,0
358868675,1,0,0,1,0,1,1,0,1,1,1,1,0
359374655,1,0,0,1,0,1,1,0,1,1,1,1,0
359880640,1,0,0,1,0,1,1,0,1,1,1,1,0
360386640,1,0,0,1,0,1,1,0,1,1,1,1,0
360892662,1,0,0,1,0,1,1,0,1,1,1,1,0
361398672,1,0,0,1,0,1,1,0,1,1,1,1,0
361904640,1,0,0,1,0,1,1,0,1,1,1,1,0
362410660,1,0,0,1,0,1,1,0,1,1,1,1,0
362916639,1,0,0,1,0,1,1,0,1,1,1,1,0
363422640,1,0,0,1,0,1,1,0,1,1,1,1,0
363929658,1,0,0,1,0,1,1,0,1,1,1,1,0
364435640,1,0,0,1,0,1,1,0,1,1,1,1,0
364941640,1,0,0,1,0,1,1,0,1,1,1,1,0
365447641,1,0,0,1,0,1,1,0,1,1,1,1,0
365953740,1,0,0,1,0,1,1,0,1,1,1,1,0
366459966,1,0,0,1,0,1,1,0,1,1,1,1,0
366965665,1,0,0,1,0,1,1,0,1,1,1,1,0
367471639,1,0,0,1,0,1,1,0,1,1,1,1,0
367977640,1,0,0,1,0,1,1,0,1,1,1,1,0
368483640,1,0,0,1,0,1,1,0,1,1,1,1,0
368989640,1,0,0,1,0,1,1,0,1,1,1,1,0
369495642,1,0,0,1,0,1,1,0,1,1,1,1,0
370001781,1,0,0,1,0,1,1,0,1,1,1,1,0
370507675,1,0,0,1,0,1,1,0,1,1,1,1,0
371013640,1,0,0,1,0,1,1,0,1,1,1,1,0
371519641,1,0,0,1,0,1,1,0,1,1,1,1,0
372025641,1,0,0,1,0,1,1,0,1,1,1,1,0
372532003,1,0,0,1,0,1,1,0,1,1,1,1,0
373037641,1,0,0,1,0,1,1,0,1,1,1,1,0
373544641,1,0,0,1,0,1,1,0,1,1,1,1,0
374050732,1,0,0,1,0,1,1,0,1,1,1,1,0
374556639,1,0,0,1,0,1,1,0,1,1,1,1,0
375063661,1,0,0,1,0,1,1,0,1,1,1,1,0
375569702,1,0,0,1,0,1,1,0,1,1,1,1,0
376075684,1,0,0,1,0,1,1,0,1,1,1,1,0
376582640,1,0,0,1,0,1,1,0,1,1,1,1,0
377088777,1,0,0,1,0,1,1,0,1,1,1,1,0
377594640,1,0,0,1,0,1,1,0,1,1,1,1,0
378100640,1,0,0,1,0,1,1,0,1,1,1,1,0
378606640,1,0,0,1,0,1,1,0,1,1,1,1,0
379112639,1,0,0,1,0,1,1,0,1,1,1,1,0
379618642,1,0,0,1,0,1,1,0,1,1,1,1,0
380124721,1,0,0,1,0,1,1,0,1,1,1,1,0
380630662,1,0,0,1,0,1,1,0,1,1,1,1,0
381136640,1,0,0,1,0,1,1,0,1,1,1,1,0
381643219,1,0,0,1,0,1,1,0,1,1,1,1,0
382148661,1,0,0,1,0,1,1,0,1,1,1,1,0
382654642,1,0,0,1,0,1,1,0,1,1,1,1,0
383160665,1,0,0,1,0,1,1,0,1,1,1,1,0
383424700,1,1,0,1,0,1,1,0,1,1,1,1,0
383930754,1,1,0,1,0,1,1,0,1,1,1,1,0
384436659,1,1,0,1,0,1,1,0,1,1,1,1,0
384943005,1,1,0,1,0,1,1,0,1,1,1,1,0
385448674,1,1,0,1,0,1,1,0,1,1,1,1,0
385955640,1,1,0,1,0,1,1,0,1,1,1,1,0
386463014,1,1,0,1,0,1,1,0,1,1,1,1,0
386968641,1,1,0,1,0,1,1,0,1,1,1,1,0
387430660,1,1,0,1,0,1,1,0,1,1,1,1,0
387938166,1,1,0,1,0,1,1,0,1,1,1,1,0
388179660,1,1,0,1,0,1,1,0,1,1,1,1,0
388323061,1,1,0,1,0,1,1,0,1,1,1,1,0
388344661,1,1,0,1,0,1,1,0,1,1,1,1,0
388454709,1,1,0,1,0,1,1,0,1,1,1,1,0
388960651,1,1,0,1,0,1,1,0,1,1,1,1,0
389466640,1,1,0,1,0,1,1,0,1,1,1,1,0
389973639,1,1,0,1,0,1,1,0,1,1,1,1,0
390479641,1,1,0,1,0,1,1,0,1,1,1,1,0
390985640,1,1,0,1,0,1,1,0,1,1,1,1,0
391491641,1,1,0,1,0,1,1,0,1,1,1,1,0
391997641,1,1,0,1,0,1,1,0,1,1,1,1,0
392503641,1,1,0,1,0,1,1,0,1,1,1,1,0
393009640,1,1,0,1,0,1,1,0,1,1,1,1,0
393515643,1,1,0,1,0,1,1,0,1,1,1,1,0
394021660,1,1,0,1,0,1,1,0,1,1,1,1,0
394527653,1,1,0,1,0,1,1,0,1,1,1,1,0
395033648,1,1,0,1,0,1,1,0,1,1,1,1,0
395540270,1,1,0,1,0,1,1,0,1,1,1,1,0
396045659,1,1,0,1,0,1,1,0,1,1,1,1,0
396551653,1,1,0,1,0,1,1,0,1,1,1,1,0
397057640,1,1,0,1,0,1,1,0,1,1,1,1,0
397564870,1,1,0,1,0,1,1,0,1,1,1,1,0
398071640,1,1,0,1,0,1,1,0,1,1,1,1,0
398577640,1,1,0,1,0,1,1,0,1,1,1,1,0
399083917,1,1,0,1,0,1,1,0,1,1,1,1,0
399589929,1,1,0,1,0,1,1,0,1,1,1,1,0
400095670,1,1,0,1,0,1,1,0,1,1,1,1,0
400601641,1,1,0,1,0,1,1,0,1,1,1,1,0
401107640,1,1,0,1,0,1,1,0,1,1,1,1,0
401613997,1,1,0,1,0,1,1,0,1,1,1,1,0
402119640,1,1,0,1,0,1,1,0,1,1,1,1,0
402625640,1,1,0,1,0,1,1,0,1,1,1,1,0
403131640,1,1,0,1,0,1,1,0,1,1,1,1,0
403637690,1,1,0,1,0,1,1,0,1,1,1,1,0
404143640,1,1,0,1,0,1,1,0,1,1,1,1,0
404649662,1,1,0,1,0,1,1,0,1,1,1,1,0
405155644,1,1,0,1,0,1,1,0,1,1,1,1,0
405661642,1,1,0,1,0,1,1,0,1,1,1,1,0
406167641,1,1,0,1,0,1,1,0,1,1,1,1,0
406673639,1,1,0,1,0,1,1,0,1,1,1,1,0
407179641,1,1,0,1,0,1,1,0,1,1,1,1,0
407685640,1,1,0,1,0,1,1,0,1,1,1,1,0
408191659,1,1,0,1,0,1,1,0,1,1,1,1,0
408697654,1,1,0,1,0,1,1,0,1,1,1,1,0
409203659,1,1,0,1,0,1,1,0,1,1,1,1,0
409709712,1,1,0,1,0,1,1,0,1,1,1,1,0
410215640,1,1,0,1,0,1,1,0,1,1,1,1,0
410722124,1,1,0,1,0,1,1,0,1,1,1,1,0
411227655,1,1,0,1,0,1,1,0,1,1,1,1,0
411733640,1,1,0,1,0,1,1,0,1,1,1,1,0
