timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
433142130,433114257,3,4,1,0,0,0,3,0,3,0,0
434164709,434134411,3,4,1,0,0,0,3,0,3,0,0
435174787,435144473,3,4,1,0,0,0,3,0,3,0,0
436197331,436169504,3,4,1,0,0,0,3,0,3,0,0
437207283,437179590,3,4,1,0,0,0,3,0,3,0,0
438229956,438202176,3,4,1,0,0,0,3,0,3,0,0
439249997,439219928,3,4,1,0,0,0,3,0,3,0,0
440257686,440227473,3,4,1,0,0,0,3,0,3,0,0
441270139,441239968,3,4,1,0,0,0,3,0,3,0,0
442295473,442267560,3,4,1,0,0,0,3,0,3,0,0
443312793,443282624,3,4,1,0,0,0,3,0,3,0,0
444332913,444305205,3,4,1,0,0,0,3,0,3,0,0
445358249,445330334,3,4,1,0,0,0,3,0,3,0,0
446380828,446352938,3,4,1,0,0,0,3,0,3,0,0
447405751,447375499,3,4,1,0,0,0,3,0,3,0,0
448418416,448390537,3,4,1,0,0,0,3,0,3,0,0
449426045,449395633,3,4,1,0,0,0,3,0,3,0,0
450435940,450408221,3,4,1,0,0,0,3,0,3,0,0
451453791,451425818,3,4,1,0,0,0,3,0,3,0,0
452478680,452448405,3,4,1,0,0,0,3,0,3,0,0
453488841,453460991,3,4,1,0,0,0,3,0,3,0,0
454513924,454483594,3,4,1,0,0,0,3,0,3,0,0
455539122,455511178,3,4,1,0,0,0,3,0,3,0,0
456546685,456516299,3,4,1,0,0,0,3,0,3,0,0
457566761,457538895,3,4,1,0,0,0,3,0,3,0,0
458586668,458558967,3,4,1,0,0,0,3,0,3,0,0
459599404,459571565,3,4,1,0,0,0,3,0,3,0,0
460612040,460584160,3,4,1,0,0,0,3,0,3,0,0
461634564,461606758,3,4,1,0,0,0,3,0,3,0,0
462644634,462614356,3,4,1,0,0,0,3,0,3,0,0
463672405,463642009,3,4,1,0,0,0,3,0,3,0,0
464694837,464664557,3,4,1,0,0,0,3,0,3,0,0
465704942,465677151,3,4,1,0,0,0,3,0,3,0,0
466730059,466702280,3,4,1,0,0,0,3,0,3,0,0
467742639,467714872,3,4,1,0,0,0,3,0,3,0,0
468755437,468724962,3,4,1,0,0,0,3,0,3,0,0
469765483,469737562,3,4,1,0,0,0,3,0,3,0,0
