timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
258845613,1693632402400303,366607778,1263420320,59601,77256,0.266,0.10455447,0.882,1.4130001,0.59,0.93,96,81,1.626,1.5350001,0.536,0.28300002,0.15004456,0,nan,0.0,3,0,1,19,0
259242631,1693632402800304,366607839,1263420356,59505,77160,0.268,0.088884555,0.88400006,1.417,0.62,0.93,96,79,1.9770001,1.7720001,0.87700003,0.22700001,0.39668438,0,nan,0.0,3,0,1,18,0
259844620,1693632403400304,366607925,1263420416,59368,77023,0.26000002,0.10766081,0.8880001,1.4210001,0.62,0.93,96,79,1.6710001,1.411,0.89500004,0.112,0.52183354,0,nan,0.0,3,0,1,18,0
260244621,1693632403800304,366607983,1263420452,59273,76928,0.245,0.097270854,0.88900006,1.4230001,0.59,0.93,96,78,1.825,1.6980001,0.66800004,0.095000006,0.42846382,0,nan,0.0,3,0,1,19,0
260852880,1693632404400304,366608071,1263420490,59157,76812,0.23,0.119852796,0.89000005,1.424,0.59,0.93,96,78,1.3470001,1.296,0.36600003,0.062000003,0.32470697,0,nan,0.0,3,0,1,19,0
261253613,1693632404800304,366608101,1263420503,59164,76819,0.293,0.49988726,0.892,1.4230001,0.64,1.01,96,76,0.34600002,0.32700002,0.115,0.12200001,0.32507506,0,nan,0.0,3,0,1,18,0
261847915,1693632405400304,366608098,1263420494,59185,76840,0.21800001,0.6480589,0.89400005,1.4210001,0.69,1.01,96,76,0.314,-0.13100001,-0.28500003,0.076000005,4.9484243,0,nan,0.0,3,0,1,17,0
262252998,1693632405800304,366608092,1263420479,59191,76846,0.23,0.53563505,0.89400005,1.4210001,0.69,1.01,96,81,0.386,-0.141,-0.35900003,-0.119,4.462613,0,nan,0.0,3,0,1,17,0
262845613,1693632406400305,366608084,1263420458,59154,76810,0.223,0.57593995,0.89500004,1.4230001,0.64,1.01,96,81,0.24100001,-0.101,-0.21900001,-0.036000002,4.2659693,0,nan,0.0,3,0,1,18,0
263238087,1693632406800305,366608078,1263420450,59163,76818,0.223,0.58389115,0.89500004,1.4250001,0.59,0.93,96,79,0.18800001,-0.15200001,-0.11100001,-0.026,4.0780106,0,nan,0.0,3,0,1,19,0
