timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
278454603,278453922,4325386,2000.08,3.9064062,132.16742,nan,nan,nan,132.10097,nan,144.94707,nan,nan,10.914328,nan,nan,nan,12.668157,nan,4.1361666,nan,nan
278519724,278516429,4325386,2000.08,3.9064062,132.16742,nan,nan,nan,132.00952,nan,144.94707,nan,nan,10.205254,nan,nan,nan,12.791037,nan,4.1361666,nan,nan
278579605,278576435,4325386,2000.08,3.9064062,132.15163,nan,nan,nan,132.00952,nan,144.94707,nan,nan,11.119088,nan,nan,nan,12.791037,nan,4.1361666,nan,nan
278584473,278581435,4325386,2000.08,3.9064062,132.15163,nan,nan,nan,131.93681,nan,144.94707,nan,nan,11.119088,nan,nan,nan,13.186549,nan,4.1361666,nan,nan
278649676,278646442,4325386,2000.08,3.9064062,132.00116,nan,nan,nan,131.92982,nan,144.94707,nan,nan,10.229422,nan,nan,nan,12.878046,nan,4.1361666,nan,nan
278709814,278708948,4325386,2000.08,3.9064062,131.9571,nan,nan,nan,131.89375,nan,144.94707,nan,nan,10.07798,nan,nan,nan,12.978992,nan,4.1361666,nan,nan
278769531,278768954,4325386,2000.08,3.9064062,131.52983,nan,nan,nan,131.89375,nan,144.94707,nan,nan,10.462842,nan,nan,nan,12.978992,nan,4.1361666,nan,nan
278774618,278773954,4325386,2000.08,3.9064062,131.52983,nan,nan,nan,131.87566,nan,144.94707,nan,nan,10.462842,nan,nan,nan,13.319736,nan,4.1361666,nan,nan
278839639,278836460,4325386,2000.08,3.9064062,130.4383,nan,nan,nan,131.49594,nan,144.94707,nan,nan,10.852926,nan,nan,nan,13.773277,nan,4.1361666,nan,nan
278904576,278901467,4325386,2000.08,3.9064062,130.28119,nan,nan,nan,130.25537,nan,144.94707,nan,nan,10.486293,nan,nan,nan,13.089351,nan,4.1361666,nan,nan
278969562,278966473,4325386,2000.08,3.9064062,130.28119,nan,nan,nan,129.54057,nan,144.94707,nan,nan,10.486293,nan,nan,nan,12.9245,nan,4.1361666,nan,nan
279024503,279023979,4325386,2000.08,3.9064062,129.48288,nan,nan,nan,129.54057,nan,144.94707,nan,nan,10.241482,nan,nan,nan,12.9245,nan,4.1361666,nan,nan
279029568,279028979,4325386,2000.08,3.9064062,129.48288,nan,nan,nan,129.26277,nan,144.94707,nan,nan,10.241482,nan,nan,nan,12.916484,nan,4.1361666,nan,nan
279094508,279093986,4325386,2000.08,3.9064062,129.38316,nan,nan,nan,129.14229,nan,144.94707,nan,nan,10.168185,nan,nan,nan,13.4117565,nan,4.1361666,nan,nan
279160330,279156492,4325386,2000.08,3.9064062,129.08795,nan,nan,nan,129.14229,nan,144.94707,nan,nan,10.338104,nan,nan,nan,13.272764,nan,4.1361666,nan,nan
