timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
421856641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
422362767,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
422868661,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
423374641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
423880809,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
424386641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
424892641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
425398740,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
425904641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
426410803,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
426916661,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
427422641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
427928964,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
428434641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
428941266,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
429447642,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
429954657,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
430461454,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
430966642,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
431472641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
431978972,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
432484653,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
432990641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
433496641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
434002641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
434508641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
435014675,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
435520640,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
436027662,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
436533729,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
437039641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
437545641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
438051893,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
438557641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
439063661,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
439569740,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
440075641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
440582725,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
441088641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
441594683,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
442100640,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
442607642,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
443113641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
443619776,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
444126653,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
444632725,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
445138643,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
445644778,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
446150646,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
446656640,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
447162662,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
447668642,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
