timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
429845897,429745530,0.10033739,0.10033397,0.2140235,1.0262873,1.026284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40546,0.0,0.0,nan,0.0,0.0,0.25026527,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
430335932,430235568,0.10029995,0.10029586,0.21402745,1.0263022,1.0262996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40313,0.0,0.0,nan,0.0,0.0,0.25026333,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
430836102,430735607,0.10033992,0.100338995,0.21409383,1.0265845,1.0265816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406073,0.0,0.0,nan,0.0,0.0,0.25026137,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
431336013,431235646,0.100254916,0.1002556,0.214058,1.0263377,1.0263355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403726,0.0,0.0,nan,0.0,0.0,0.25025943,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
431836091,431735685,0.10025119,0.10025329,0.21408248,1.0283074,1.0283056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405417,0.0,0.0,nan,0.0,0.0,0.25025746,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
432346160,432245726,0.10022627,0.10022953,0.21404976,1.0280875,1.0280862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403641,0.0,0.0,nan,0.0,0.0,0.25025553,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
432846128,432745765,0.10039398,0.10039826,0.21409371,1.028628,1.0286269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405761,0.0,0.0,nan,0.0,0.0,0.2502535,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
433346243,433245805,0.100376755,0.10038389,0.214086,1.0305927,1.0305923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405082,0.0,0.0,nan,0.0,0.0,0.25025168,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
433836233,433735844,0.10036067,0.10037184,0.21410601,1.032586,1.0325861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406165,0.0,0.0,nan,0.0,0.0,0.25024986,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
434336313,434235884,0.10034852,0.100359574,0.21410093,1.0325742,1.0325751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404245,0.0,0.0,nan,0.0,0.0,0.25024801,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
434836317,434735925,0.10035159,0.10036112,0.21406136,1.0345618,1.0345631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405865,0.0,0.0,nan,0.0,0.0,0.25024617,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
435336378,435235965,0.10034941,0.10035588,0.21402444,1.0363158,1.0363177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403486,0.0,0.0,nan,0.0,0.0,0.25024432,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
435846539,435746006,0.10036248,0.10036709,0.21403573,1.0383898,1.0383922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405845,0.0,0.0,nan,0.0,0.0,0.25024247,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
436346461,436246047,0.10042242,0.10042707,0.21410553,1.0387207,1.0387232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403999,0.0,0.0,nan,0.0,0.0,0.25024074,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
436846621,436746088,0.10029702,0.10029783,0.21406232,1.03845,1.0384524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405654,0.0,0.0,nan,0.0,0.0,0.25023898,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
437336493,437236128,0.100366995,0.100366205,0.21406925,1.0407301,1.0407324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403296,0.0,0.0,nan,0.0,0.0,0.25023726,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
437836536,437736169,0.10030023,0.10030015,0.21405466,1.0405117,1.0405138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405696,0.0,0.0,nan,0.0,0.0,0.2502356,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
438336571,438236210,0.100344606,0.10034806,0.21406496,1.0405728,1.040574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403877,0.0,0.0,nan,0.0,0.0,0.25023392,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
438836652,438736251,0.100314155,0.100322135,0.21408264,1.0445188,1.0445195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405544,0.0,0.0,nan,0.0,0.0,0.25023228,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
439336694,439236292,0.10035817,0.10037574,0.2140727,1.044846,1.044846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403731,0.0,0.0,nan,0.0,0.0,0.2502307,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
439846901,439746335,0.100310974,0.10032465,0.21403523,1.0445986,1.0445986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406145,0.0,0.0,nan,0.0,0.0,0.2502291,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
440346746,440246377,0.10034709,0.100359485,0.21406561,1.0466483,1.0466484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403796,0.0,0.0,nan,0.0,0.0,0.25022754,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
440836844,440736418,0.1003373,0.10035093,0.21408889,1.0486612,1.0486617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405478,0.0,0.0,nan,0.0,0.0,0.010162954,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
441336868,441236460,0.100399315,0.100414336,0.21407543,1.048966,1.0489669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4036665,0.0,0.0,nan,0.0,0.0,0.010092882,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
441837013,441736501,0.10037527,0.10039116,0.214096,1.050968,1.0509692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406082,0.0,0.0,nan,0.0,0.0,0.0100660855,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
442336948,442236544,0.1002788,0.100294515,0.2140547,1.050713,1.0507145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40425,0.0,0.0,nan,0.0,0.0,0.010052079,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
442837122,442736586,0.10019355,0.10020245,0.21403594,1.0504725,1.0504745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405407,0.0,0.0,nan,0.0,0.0,0.010043569,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
443347054,443246629,0.10028889,0.10028909,0.21403186,1.050817,1.0508195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404327,0.0,0.0,nan,0.0,0.0,0.010037834,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
443847103,443746672,0.100378364,0.10037732,0.21410085,1.0511159,1.0511181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406028,0.0,0.0,nan,0.0,0.0,0.010033908,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
444337147,444236714,0.10036678,0.100365564,0.21409407,1.0510696,1.0510713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404646,0.0,0.0,nan,0.0,0.0,0.010031077,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
444837185,444736757,0.10026201,0.10026218,0.21406257,1.0527464,1.0527477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406264,0.0,0.0,nan,0.0,0.0,0.0100289155,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
445337166,445236800,0.10023844,0.100243375,0.21402754,1.0545498,1.0545504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404387,0.0,0.0,nan,0.0,0.0,0.010027267,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
445837272,445736843,0.100305036,0.100315265,0.21403824,1.0568873,1.0568874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406035,0.0,0.0,nan,0.0,0.0,0.010025989,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
446337286,446236887,0.10029587,0.10030974,0.21410336,1.0589674,1.0589671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404133,0.0,0.0,nan,0.0,0.0,0.010024978,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
446837418,446736930,0.10027361,0.100288376,0.21406226,1.0609957,1.0609955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406459,0.0,0.0,nan,0.0,0.0,0.010024208,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
447347361,447246975,0.100298546,0.10031499,0.21406814,1.0630822,1.0630822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404562,0.0,0.0,nan,0.0,0.0,0.010023564,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
447837594,447737018,0.10024929,0.100268155,0.21403174,1.0669012,1.0669017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405661,0.0,0.0,nan,0.0,0.0,0.010023085,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
448337506,448237062,0.10033596,0.100354664,0.21410151,1.0692565,1.0692576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403811,0.0,0.0,nan,0.0,0.0,0.010022686,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
448837571,448737106,0.100332364,0.10034509,0.21406336,1.071307,1.0713085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40619,0.0,0.0,nan,0.0,0.0,0.010022372,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
449337534,449237150,0.100354455,0.100357026,0.21406804,1.0693645,1.0693667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404329,0.0,0.0,nan,0.0,0.0,0.010022133,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
449837574,449737195,0.100345425,0.10034688,0.21409202,1.0673928,1.0673951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406,0.0,0.0,nan,0.0,0.0,0.010021938,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
450337626,450237239,0.10034367,0.10035344,0.21409401,1.0653654,1.0653673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403639,0.0,0.0,nan,0.0,0.0,0.010021791,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
450837713,450737284,0.100327924,0.10034894,0.2140534,1.063328,1.0633295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406045,0.0,0.0,nan,0.0,0.0,0.010021664,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
451337697,451237329,0.10043194,0.10045839,0.21410811,1.0615871,1.0615878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403724,0.0,0.0,nan,0.0,0.0,0.010021568,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
451837880,451737374,0.10034138,0.10036564,0.21403357,1.0592803,1.0592808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404946,0.0,0.0,nan,0.0,0.0,0.010021495,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
452337870,452237419,0.10040102,0.10041375,0.21408673,1.0574954,1.0574962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4039345,0.0,0.0,nan,0.0,0.0,0.010021439,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
452837850,452737464,0.100368045,0.100376405,0.21410598,1.0554101,1.0554112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405671,0.0,0.0,nan,0.0,0.0,0.010021395,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
453337876,453237510,0.100311294,0.10031451,0.21407552,1.0551162,1.0551175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403382,0.0,0.0,nan,0.0,0.0,0.010021366,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
453837936,453737555,0.100304276,0.100304775,0.21404327,1.0531094,1.0531108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405107,0.0,0.0,nan,0.0,0.0,0.010021335,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
454338015,454237601,0.10029935,0.1002984,0.21404879,1.0510645,1.0510657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403348,0.0,0.0,nan,0.0,0.0,0.010021313,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
454838035,454737647,0.10030019,0.10029901,0.21407358,1.0510402,1.0510411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405793,0.0,0.0,nan,0.0,0.0,0.010021311,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
