timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
450133548,450132585,396321,0.6787878,-0.40151513,1.0280303,nan,0
451146161,451145183,396321,0.6575757,-0.41893938,1.0128788,nan,0
452141525,452140576,396321,0.6666666,-0.4333333,0.9946969,nan,0
453137305,453136356,396321,0.6378788,-0.43939394,0.99393934,nan,0
454133088,454132138,396321,0.660606,-0.455303,0.9795454,nan,0
455128817,455127868,396321,0.6378788,-0.4333333,0.955303,nan,0
456145317,456144367,396321,0.6575757,-0.4522727,1.0022727,nan,0
457141023,457140073,396321,0.6674242,-0.4409091,1.0257576,nan,0
458135942,458134992,396321,0.6439394,-0.43409088,0.95757574,nan,0
459130961,459130012,396321,0.65681815,-0.4409091,1.010606,nan,0
460147785,460146836,396321,0.6257576,-0.42196968,0.9333333,nan,0
461143241,461142292,396321,0.6765151,-0.43863636,1.0310606,nan,0
462138620,462137670,396321,0.6590909,-0.4371212,1.0090909,nan,0
463134337,463133388,396321,0.65,-0.44469696,0.9984848,nan,0
464129426,464128476,396321,0.64772725,-0.44469696,0.98181814,nan,0
465145757,465144808,396321,0.6810606,-0.45378786,1.0393939,nan,0
466140866,466139916,396321,0.6742424,-0.42348483,0.94469696,nan,0
467136767,467135818,396321,0.655303,-0.4022727,0.9772727,nan,0
468131861,468130912,396321,0.67803025,-0.40151513,1.0022727,nan,0
469127147,469126198,396321,0.6871212,-0.39393938,1.0022727,nan,0
470138994,470138045,396321,0.7181818,-0.41969696,1.0590909,nan,0
471133870,471132921,396321,0.6393939,-0.40681818,0.9613636,nan,0
472129906,472128935,396321,0.57348484,-0.36439392,0.8757576,nan,0
473146142,473145193,396321,0.07121212,-0.19090909,0.45681816,nan,0
474140932,474139983,396321,0.043939393,-0.2060606,0.46590906,nan,0
475134937,475133987,396321,0.04090909,-0.19696969,0.4621212,nan,0
476126093,476125105,396321,0.046212118,-0.20378788,0.47575757,nan,0
477143455,477142505,396321,0.046969697,-0.20833333,0.47045454,nan,0
478138876,478137926,396321,0.050757576,-0.21287878,0.4962121,nan,0
479134061,479133112,396321,0.03939394,-0.19621211,0.4583333,nan,0
480128671,480127722,396321,0.040151514,-0.19696969,0.45681816,nan,0
481146071,481145122,396321,0.043181818,-0.19924241,0.47348484,nan,0
482136096,482135146,396321,0.041666664,-0.20227273,0.45681816,nan,0
483130417,483129468,396321,0.041666664,-0.19924241,0.4590909,nan,0
484147496,484146547,396321,0.04242424,-0.19924241,0.45681816,nan,0
485142918,485141968,396321,0.111363634,-0.17045455,0.4590909,nan,0
486136409,486135459,396321,0.18181817,-0.2530303,0.40303028,nan,0
487128642,487127692,396321,0.086363636,-0.5121212,0.012878788,nan,0
488144775,488143825,396321,0.021969697,-0.49772725,-0.15833333,nan,0
489137644,489136695,396321,-0.08257575,-0.47272727,-0.25681818,nan,0
490129734,490128765,396321,-0.012121212,-0.45454544,-0.24924241,nan,0
491146004,491145055,396321,-0.0022727272,-0.430303,-0.305303,nan,0
492141291,492140342,396321,0.0045454544,-0.4181818,-0.3219697,nan,0
493131456,493130508,396321,-0.020454545,-0.41590908,-0.34242424,nan,0
494139542,494138593,396321,-0.044696968,-0.40303028,-0.36363634,nan,0
495127937,495126988,396321,-0.1310606,-0.43484846,-0.34242424,nan,0
496143899,496142949,396321,-0.16893938,-0.45454544,-0.2871212,nan,0
497137471,497136509,396321,-0.1719697,-0.46363634,-0.26136363,nan,0
498132624,498131675,396321,0.009848485,-0.49469694,-0.16439393,nan,0
499143635,499142686,396321,0.20681818,-0.4151515,0.2340909,nan,0
500139220,500138272,396321,0.08712121,-0.3022727,0.42575756,nan,0
501134010,501133061,396321,0.041666664,-0.3189394,0.4121212,nan,0
502144804,502143843,396321,0.043939393,-0.32272726,0.41742423,nan,0
503140274,503139325,396321,0.043181818,-0.325,0.4181818,nan,0
504135553,504134563,396321,0.04090909,-0.3242424,0.41060606,nan,0
505146290,505145341,396321,0.04090909,-0.32348484,0.4090909,nan,0
506141446,506140497,396321,0.03712121,-0.32651514,0.4212121,nan,0
507137023,507136074,396321,0.043939393,-0.3181818,0.4212121,nan,0
508132158,508131209,396321,0.041666664,-0.3159091,0.4090909,nan,0
509143146,509142197,396321,0.046969697,-0.325,0.4121212,nan,0
510128964,510127980,396321,-0.006818182,-0.325,0.42348483,nan,0
