timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
225254864,225155726,0.005114138,0.0015580214,0.005392818,1114775,0,0.35097122,0.39322743,0.6255543,0.018973164,0.007918751,0.016573168,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
225452453,225353284,0.0056426576,0.0025111597,0.013142424,1114775,0,0.3503875,0.39478865,0.60297275,0.04256552,0.007092028,0.0022831298,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
225659961,225560720,0.004207176,0.0075683678,0.017688714,1114775,0,0.3339119,0.39012095,0.59851134,0.05978077,0.007071712,0.008663497,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
225857374,225758278,0.0050026686,0.003022316,0.011811958,1114775,0,0.3501423,0.393592,0.61292106,0.05978077,0.007071712,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
226055016,225955836,0.005580379,0.007940782,0.014470834,1114775,0,0.34953707,0.39265984,0.60133964,0.11435677,0.00783682,0.06216955,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
226262392,226163272,0.004157529,0.0075228605,0.014429431,1114775,0,0.34983647,0.39490366,0.5977065,0.07490535,0.0069885766,0.010746555,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
226459931,226360830,0.004874541,0.007111878,0.013172028,1114775,0,0.34921795,0.39396277,0.5781388,0.046661865,0.00800757,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
226657547,226558388,0.0037526456,0.004771971,0.009884979,1114775,0,0.34861496,0.39302284,0.5941159,0.024599703,0.0066740727,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
226855210,226755946,0.004426654,0.010962603,0.022421304,1114775,0,0.33132553,0.3901866,0.5813109,0.02362632,0.009523794,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
227052605,226953504,0.0050847135,0.005631658,0.014000765,1114775,0,0.3475367,0.39367902,0.56922674,0.02362632,0.009523794,0.0075154626,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
