timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
324188745,1200.0,0.56512696,1337.9762,0.0,11561,0,41.74963,510,9,0,0,38,0.01764706,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325281720,1200.0,0.56512696,1203.8845,0.0,11605,0,62.993954,512,9,0,0,38,0.017578125,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326270799,1200.0,0.56512696,1325.1519,0.0,11644,0,20.939194,514,9,0,0,38,0.017509727,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327194709,1200.0,0.56512696,1406.746,0.0,11680,0,62.5,516,9,0,0,38,0.017441861,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328269746,1200.0,0.56512696,1114.885,0.0,11716,0,41.95804,518,9,0,0,38,0.017374517,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329275691,1200.0,0.56512696,1443.3497,0.0,11755,0,20.689655,520,9,0,0,38,0.017307693,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330334019,1200.0,0.56512696,1048.563,0.0,11795,0,41.625374,522,9,0,0,38,0.01724138,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331349692,1200.0,0.56512696,1296.5175,0.0,11828,0,62.68657,525,9,0,0,38,0.017142856,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332274692,1200.0,0.56512696,1133.3334,0.0,11864,0,67.66169,527,9,0,0,38,0.017077798,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333330723,1200.0,0.56512696,1305.7955,0.0,11898,0,41.706017,529,9,0,0,38,0.017013233,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334247691,1200.0,0.56512696,1421.5784,0.0,11934,0,20.97902,531,9,0,0,38,0.016949153,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335277691,1200.0,0.56512696,1009.95,0.0,11967,0,62.379265,533,9,0,0,38,0.016885553,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336354723,1200.0,0.56512696,1508.8889,0.0,12022,0,41.830585,535,9,0,0,38,0.01682243,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337271294,1200.0,0.56512696,1299.6381,0.0,12068,0,41.667786,537,9,0,0,38,0.016759777,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338277690,1200.0,0.56512696,1432.6003,0.0,12105,0,41.959003,539,9,0,0,38,0.016697587,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339330691,1200.0,0.56512696,1089.3744,0.0,12144,0,41.708046,541,9,0,0,38,0.01663586,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340332731,1200.0,0.56512696,1488.0437,0.0,12181,0,41.665222,542,9,0,0,38,0.016605167,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
