timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
394255921,394127675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
395263951,395129674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
396251198,396123855,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
397249258,397122674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
398256415,398125675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
399254383,399119489,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
400251572,400124073,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
401259586,401124645,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
402246825,402115681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
403254588,403121676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
404252028,404121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
405249840,405117676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
406247318,406118676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
407254884,407121675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
408252520,408123674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
409250167,409122675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
410247834,410121690,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
411255339,411127733,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
412243085,412115675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
413260469,413132674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
414248258,414121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
415255825,415123674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
416253412,416122674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
417251060,417121804,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
418238882,418112676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
419246386,419117691,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
420253903,420122676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
421251559,421122675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
422249207,422121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
423256768,423123675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
424244517,424117679,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
425252128,425126675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
426249751,426119699,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
