timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
246371235,12478544,3,4259850,4028193,4325386,396321,0.16067843,0.16192679,0.16185227,0.16196361,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
247371356,12478544,3,4259850,4028193,4325386,396321,0.07020641,0.06875822,0.0383728,0.032001637,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
248371390,12478544,3,4259850,4028193,4325386,396321,0.062313166,0.06463917,0.041389916,0.041390613,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
249371579,12478544,3,4259850,4028193,4325386,396321,0.059680324,0.062738836,0.02407961,0.021676915,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
250381594,12478544,3,4259850,4028193,4325386,396321,0.10066134,0.11121736,0.051709,0.05797349,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
251381741,12478544,3,4259850,4028193,4325386,396321,0.048706595,0.05990543,0.017512694,0.017949183,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
252381850,12478544,3,4259850,4028193,4325386,396321,0.160958,0.18445052,0.04785134,0.05837627,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253381866,12478544,3,4259850,4028193,4325386,396321,0.13556917,0.1567463,0.06529185,0.062204696,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253672105,12478544,3,4259850,4028193,4325386,396321,0.3130447,0.2930443,0.110274054,0.121474534,nan,nan,nan,nan,nan,0.0,1.0,0.79722935,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253872117,12478544,3,4259850,4028193,4325386,396321,0.3261049,0.348921,0.111965165,0.14196618,nan,nan,nan,nan,nan,0.0,1.0,0.5830896,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
