timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
276047728,1693632419600309,11010053,366612619,1263440632,54565,72224,0.23200001,0.009940871,0.90300006,1.4350001,0.62,0.93,97,95,20.001001,7.3960004,18.583,1.245,1.1920204,0,nan,0.0,0.0,1092,3,0,1,18
277041614,1693632420600309,11010053,366613865,1263442128,54467,72127,0.298,0.011394906,0.90800005,1.44,0.59,0.93,97,90,19.710001,18.821001,5.8550005,-1.0760001,0.30160493,0,nan,0.0,0.0,1092,3,0,1,19
278039617,1693632421600309,11010053,366615523,1263441822,56442,74101,0.31,0.022404792,0.93200004,1.445,0.62,0.93,97,95,19.284,16.105001,-10.607,-1.9530001,5.700794,0,nan,0.0,0.0,1092,3,0,1,18
279043613,1693632422600309,11010053,366616385,1263440063,58398,76057,0.29900002,0.019931834,0.96700007,1.468,0.62,0.93,97,86,19.434,2.6720002,-19.25,-1.4180001,4.850315,0,nan,0.0,0.0,1092,3,0,1,18
280041614,1693632423600310,11010053,366616038,1263437925,58582,76240,0.321,0.008994903,0.98100007,1.493,0.62,0.93,97,97,20.014002,-7.7980003,-18.432001,1.519,4.312176,0,nan,0.0,0.0,1092,3,0,1,18
281041611,1693632424600310,11010053,366615353,1263435821,55703,73361,0.27600002,0.010705675,0.9850001,1.498,0.64,0.94,97,81,20.963001,-5.5870004,-20.204,2.7970002,4.442593,0,nan,0.0,0.0,1092,3,0,1,17
282042613,1693632425600310,11010053,366615245,1263433476,54430,72087,0.23900001,0.012278042,0.989,1.4920001,0.59,0.93,97,95,20.778002,2.4880002,-20.629002,0.91300005,4.8324404,0,nan,0.0,0.0,1092,3,0,1,19
283041614,1693632426600311,11010053,366615746,1263431233,54105,71762,0.26200002,0.017770592,1.0,1.501,0.59,0.93,97,95,20.681002,8.614,-18.801,0.1,5.1419835,0,nan,0.0,0.0,1092,3,0,1,19
284036613,1693632427600311,11010053,366616664,1263429241,53919,71576,0.24100001,0.015799418,1.01,1.5120001,0.59,0.93,97,101,20.310001,11.706,-16.597,0.878,5.3266935,0,nan,0.0,0.0,1092,3,0,1,19
285049614,1693632428600311,11010053,366617778,1263427460,53756,71412,0.21900001,0.01139665,1.013,1.5150001,0.59,0.93,97,96,19.800001,12.935,-14.991001,0.551,5.424322,0,nan,0.0,0.0,1092,3,0,1,19
286046636,1693632429600311,11010053,366618927,1263425798,53754,71410,0.20700002,0.01185096,1.0120001,1.5180001,0.62,0.93,97,77,19.369001,12.698001,-14.626,0.36900002,5.427355,0,nan,0.0,0.0,1092,3,0,1,18
287050613,1693632430600312,11010053,366620056,1263424167,53606,71261,0.19700001,0.012592026,1.01,1.5200001,0.59,0.93,97,95,19.129002,12.420001,-14.549001,0.17400001,5.4189806,0,nan,0.0,0.0,1092,3,0,1,19
288048613,1693632431600312,11010053,366621154,1263422513,53743,71397,0.22700001,0.0120015815,1.005,1.521,0.59,0.93,98,95,19.059,12.218,-14.628,0.046000004,5.408246,0,nan,0.0,0.0,1092,3,0,1,19
289047613,1693632432600312,11010053,366622245,1263420848,53762,71416,0.20500001,0.01167503,1.001,1.5230001,0.59,0.93,98,99,19.152,12.183001,-14.777,-0.224,5.401888,0,nan,0.0,0.0,1092,3,0,1,19
290047693,1693632433600313,11010053,366623335,1263419181,53755,71409,0.2,0.011648153,0.998,1.5270001,0.61,0.94,98,97,19.207,12.126,-14.895,-0.009000001,5.3956766,0,nan,0.0,0.0,1092,3,0,1,18
291041612,1693632434600313,11010053,366624433,1263417557,54002,71656,0.21100001,0.01078753,0.99700004,1.529,0.65,0.95,98,86,18.879002,12.616,-14.045001,0.134,5.4442506,0,nan,0.0,0.0,1092,3,0,1,17
292044612,1693632435600313,11010053,366625594,1263416042,54359,72012,0.21800001,0.011100468,0.99500006,1.524,0.61,0.94,98,90,18.503,13.18,-12.987,-0.021000002,5.5051947,0,nan,0.0,0.0,1092,3,0,1,18
293048077,1693632436600314,11010053,366626795,1263414621,54442,72095,0.216,0.012091465,0.99300003,1.5250001,0.59,0.93,98,93,18.459002,13.561001,-12.524,0.007,5.5375166,0,nan,0.0,0.0,1092,3,0,1,19
294050933,1693632437600314,11010053,366628028,1263413222,54586,72238,0.20600002,0.013808172,0.99000007,1.5280001,0.59,0.93,98,92,18.551,13.64,-12.5720005,-0.497,5.5385075,0,nan,0.0,0.0,1092,3,0,1,19
295044611,1693632438600314,11010053,366629265,1263411833,55206,72858,0.21700001,0.014371041,0.989,1.5320001,0.59,0.93,98,93,18.344002,13.612,-12.297001,-0.26500002,5.548482,0,nan,0.0,0.0,1092,3,0,1,19
296046613,1693632439600314,11010053,366630479,1263410441,55244,72896,0.202,0.012323769,0.989,1.536,0.59,0.93,98,78,18.382,13.505001,-12.471001,0.20500001,5.5375843,0,nan,0.0,0.0,1092,3,0,1,19
297037613,1693632440600315,11010053,366631693,1263409050,55230,72882,0.209,0.013053492,0.98800004,1.542,0.59,0.93,98,94,18.336,13.487,-12.423,-0.46800002,5.5388093,0,nan,0.0,0.0,1092,3,0,1,19
298049612,1693632441600315,11010053,366632906,1263407660,55518,73169,0.21300001,0.012277169,0.984,1.536,0.57,0.87,98,93,18.33,13.519001,-12.378,-0.13900001,5.541815,0,nan,0.0,0.0,1092,3,0,1,20
299049613,1693632442600315,11010053,366634125,1263406287,55557,73208,0.20300001,0.012348553,0.98100007,1.531,0.57,0.87,98,96,18.206001,13.47,-12.249001,0.021000002,5.5452566,0,nan,0.0,0.0,1092,3,0,1,20
300046639,1693632443600316,11010053,366635332,1263404923,55668,73319,0.202,0.0107534975,0.9760001,1.519,0.57,0.87,98,81,18.12,13.2560005,-12.354001,-0.372,5.5329676,0,nan,0.0,0.0,1092,3,0,1,20
301047613,1693632444600316,11010053,366636532,1263403559,55669,73319,0.23200001,0.011353366,0.97200006,1.5070001,0.57,0.87,98,85,18.070002,13.365001,-12.162001,-0.069000006,5.544864,0,nan,0.0,0.0,1092,3,0,1,20
302049613,1693632445600316,11010053,366637825,1263402376,55924,73573,0.23200001,0.01340762,0.96800005,1.4890001,0.59,0.87,98,90,17.874,16.258001,-7.426,-0.69100004,5.854727,0,nan,0.0,0.0,1092,3,0,1,19
303056788,1693632446600316,11010053,366639382,1263402347,57514,75164,0.277,0.0136779705,0.975,1.491,0.62,0.95,98,92,17.508001,16.639,5.4480004,-1.705,0.3163936,0,nan,0.0,0.0,1092,3,0,1,19
304050613,1693632447600317,11010053,366640767,1263403280,57807,75456,0.26700002,0.011891626,0.97900003,1.4810001,0.62,0.95,98,97,17.726002,14.191001,10.622001,0.80500007,0.6425227,0,nan,0.0,0.0,1092,3,0,1,19
305058614,1693632448600317,11010053,366641939,1263404621,57081,74731,0.25800002,0.010703056,0.97900003,1.4640001,0.62,0.95,98,98,17.698,12.158001,12.861001,0.564,0.8134749,0,nan,0.0,0.0,1092,3,0,1,19
306042613,1693632449600317,11010053,366642939,1263406104,56072,73722,0.24000001,0.013448633,0.97900003,1.455,0.69,0.96,98,87,16.679,9.069,13.998001,2.048,0.9959278,0,nan,0.0,0.0,1092,3,0,1,17
307047629,1693632450600318,11010053,366643287,1263407995,54853,72503,0.19800001,0.009934588,0.98600006,1.4510001,0.57,0.87,98,79,18.909,-2.9770002,18.674002,0.177,1.7289041,0,nan,0.0,0.0,1092,3,0,1,20
308042689,1693632451600318,11010053,366642422,1263409854,55364,73015,0.21700001,0.012663061,0.994,1.4590001,0.59,0.87,98,95,19.742,-14.431001,13.472001,-0.17500001,2.3905463,0,nan,0.0,0.0,1092,3,0,1,19
309045613,1693632452600318,11010053,366640899,1263410818,54941,72592,0.20600002,0.016276067,1.0,1.4760001,0.57,0.87,98,91,18.771002,-18.322,4.0820003,1.0830001,2.922369,0,nan,0.0,0.0,1092,3,0,1,20
310033613,1693632453600319,11010053,366639290,1263410971,53282,70933,0.21000001,0.011237477,0.998,1.473,0.58,0.87,98,82,17.37,-17.368,-0.30200002,2.45,3.1589708,0,nan,0.0,0.0,1092,3,0,1,19
311045613,1693632454600319,11010053,366637748,1263410999,50488,68139,0.202,0.010992607,0.99000007,1.4720001,0.57,0.87,98,98,16.957,-16.895,1.4490001,2.529,3.0560246,0,nan,0.0,0.0,1092,3,0,1,20
312045613,1693632455600319,11010053,366636262,1263411317,47564,65215,0.20600002,0.0114155,0.9850001,1.4770001,0.57,0.87,98,80,16.577002,-16.091002,3.9830003,2.7370002,2.8989277,0,nan,0.0,0.0,1092,3,0,1,20
313047613,1693632456600319,11010053,366634851,1263411867,44768,62420,0.20500001,0.01162843,0.98,1.48,0.57,0.87,98,95,16.268002,-15.2960005,5.538,2.3330002,2.7942128,0,nan,0.0,0.0,1092,3,0,1,20
314046613,1693632457600320,11010053,366633501,1263412526,41764,59416,0.20600002,0.011979242,0.97700006,1.4770001,0.57,0.87,98,96,15.898001,-14.682001,6.096,2.933,2.7480843,0,nan,0.0,0.0,1092,3,0,1,20
315046612,1693632458600320,11010053,366632185,1263413217,38657,56309,0.21000001,0.012336336,0.9760001,1.4720001,0.57,0.87,98,90,15.854001,-14.629001,6.11,2.795,2.745937,0,nan,0.0,0.0,1092,3,0,1,20
316043750,1693632459600320,11010053,366630872,1263413898,35615,53267,0.21900001,0.01252553,0.9760001,1.462,0.57,0.87,98,94,15.707001,-14.570001,5.8680005,2.838,2.7587037,0,nan,0.0,0.0,1092,3,0,1,20
317046613,1693632460600321,11010053,366629568,1263414550,32768,50420,0.19800001,0.012777904,0.97700006,1.4540001,0.57,0.87,98,93,15.284,-14.235001,5.5670004,2.365,2.7688031,0,nan,0.0,0.0,1092,3,0,1,20
318045613,1693632461600321,11010053,366628279,1263415175,29949,47602,0.216,0.012968669,0.97800004,1.447,0.57,0.87,98,87,15.165001,-14.308001,5.025,2.897,2.8038492,0,nan,0.0,0.0,1092,3,0,1,20
319038613,1693632462600321,11010053,366626950,1263415523,26922,44575,0.20300001,0.015458381,0.97800004,1.442,0.57,0.87,98,95,15.314001,-15.306001,0.47800002,2.6660001,3.110349,0,nan,0.0,0.0,1092,3,0,1,20
320050612,1693632463600321,11010053,366625562,1263415489,24486,42139,0.20700002,0.011464719,0.97300005,1.44,0.57,0.87,98,94,15.200001,-15.199,-0.17600001,2.4450002,3.153169,0,nan,0.0,0.0,1092,3,0,1,20
