timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
382787667,382687240,1.1789652,2.7434146,0.06828379,0.038196534,6.390398,2.1460207,0.05167261,0.09022285
383787806,383687308,1.1843522,2.73766,0.06827357,0.03817939,6.390398,2.1460207,0.07406438,0.09022301
384787870,384687375,1.1806953,2.7381785,0.068385206,0.038294483,6.390398,2.1460207,0.07406438,0.09022301
385787952,385687442,1.1744559,2.738966,0.0685022,0.038416192,6.390398,2.1460207,0.07406438,0.09022301
386788039,386687509,1.1776819,2.7390268,0.06862181,0.038540144,6.390398,2.1460207,0.07406438,0.09022301
387788199,387687576,1.1798208,2.7392378,0.06874261,0.03866235,6.390398,2.1460207,0.07406438,0.09022301
388788128,388687643,1.1798394,2.7379098,0.06886219,0.038782183,6.390398,2.1460207,0.07406438,0.09022301
389788374,389687709,1.1795177,2.7378428,0.06897089,0.038891055,6.390398,2.1460207,0.07406438,0.09022301
390788214,390687775,1.1801251,2.7376025,0.06911158,0.039032053,6.390398,2.1460207,0.07406438,0.09022301
391788328,391687842,1.1804408,2.7374272,0.06928229,0.039203163,6.390398,2.1460207,0.07406438,0.09022301
392788348,392687908,1.1808574,2.7371733,0.069473125,0.03939445,6.390398,2.1460207,0.07406438,0.09022301
393388392,393287948,1.1812944,2.737208,0.06958682,0.0395085,6.390398,2.1460207,0.07406438,0.09022301
