timestamp,voltage_v,rssi_v,free_memory_bytes,pwm[0],pwm[1],pwm[2],pwm[3],pwm[4],pwm[5],pwm[6],pwm[7],pwm_disarmed[0],pwm_disarmed[1],pwm_disarmed[2],pwm_disarmed[3],pwm_disarmed[4],pwm_disarmed[5],pwm_disarmed[6],pwm_disarmed[7],pwm_failsafe[0],pwm_failsafe[1],pwm_failsafe[2],pwm_failsafe[3],pwm_failsafe[4],pwm_failsafe[5],pwm_failsafe[6],pwm_failsafe[7],pwm_rate_hz[0],pwm_rate_hz[1],pwm_rate_hz[2],pwm_rate_hz[3],pwm_rate_hz[4],pwm_rate_hz[5],pwm_rate_hz[6],pwm_rate_hz[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_arm_sync,status_failsafe,status_fmu_initialized,status_fmu_ok,status_init_ok,status_outputs_armed,status_raw_pwm,status_rc_ok,status_rc_dsm,status_rc_ppm,status_rc_sbus,status_rc_st24,status_rc_sumd,status_safety_off,alarm_pwm_error,alarm_rc_lost,arming_failsafe_custom,arming_fmu_armed,arming_fmu_prearmed,arming_force_failsafe,arming_io_arm_ok,arming_lockdown,arming_termination_failsafe
377211888,5.59,1.6830001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
378236993,5.498,1.718,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
379257253,5.576,1.718,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
380277242,5.551,1.7300001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
381287321,5.5590005,1.7010001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
382312438,5.5460005,1.6990001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
383327355,5.5030003,1.6660001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
384345047,5.4670005,1.6880001,1464,1278,1450,1289,1273,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
385360101,5.452,1.6630001,1464,1198,1470,1322,1411,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
386385168,5.484,1.6860001,1464,1443,1472,1262,1567,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
387407746,5.464,1.6850001,1464,1331,1545,1421,1523,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
388432809,5.4550004,1.682,1464,1663,1882,1889,1215,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
389440377,5.447,1.7310001,1464,900,2000,1313,1586,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
390452793,5.401,1.6910001,1464,1481,1402,1303,2000,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
391472855,5.4280005,1.669,1464,1748,900,1150,2000,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
392492965,5.4620004,1.7030001,1464,1894,1482,1489,2000,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
393505497,5.445,1.6750001,1464,2000,1809,1521,1901,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
394530706,5.438,1.6830001,1464,1925,2000,1636,1813,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
395543329,5.445,1.7030001,1464,1795,1937,1696,1780,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
396553209,5.445,1.7010001,1464,1793,1914,1738,1790,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
397563251,5.452,1.6650001,1464,1706,1816,1653,1680,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
398583380,5.4570003,1.6750001,1464,1768,1754,1554,1738,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
399590900,5.414,1.6470001,1464,1730,1767,1526,1661,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
400606094,5.433,1.6930001,1464,1681,1715,1358,1688,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
401616058,5.438,1.6790001,1464,1676,1824,1430,1740,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
402636163,5.433,1.7080001,1464,1728,1716,1406,1700,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
