timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
334879137,334859930,396321,-0.031172456,-0.16043065,0.74239814,3
335433842,335389407,396321,0.059505608,-0.1858176,0.8401405,3
335903088,335843210,396321,0.12476783,-0.22494085,0.8700091,3
336394098,336372831,396321,0.03841468,-0.19711973,0.77404964,3
336842101,336826560,396321,0.18324143,-0.32470155,0.92184925,3
337418592,337356094,396321,0.24440299,-0.43255576,0.9098158,3
337909318,337885791,396321,0.32319945,-0.51324546,0.949906,3
338357396,338339805,396321,0.32689762,-0.53407586,0.9234007,3
338934074,338869163,396321,0.35330942,-0.57281464,0.89751446,3
339424783,339398634,396321,0.38544977,-0.61395144,0.88303185,3
339873342,339852588,396321,0.41508302,-0.63190305,0.88018703,3
340428293,340381958,396321,0.4552848,-0.6345342,0.8897447,3
340918826,340906101,396321,0.48339528,-0.6566963,0.87154645,3
341388506,341360187,396321,0.55436826,-0.7169815,0.8225436,3
341836487,341814173,396321,0.580582,-0.6973864,0.85114133,3
342434300,342419436,396321,0.6247455,-0.65746903,0.9127483,3
342903656,342873677,396321,0.643131,-0.64014804,0.93515253,3
343351825,343327673,396321,0.6718318,-0.64125764,0.93859196,3
343906665,343857364,396321,0.7127464,-0.6271464,0.94475716,3
344397899,344382121,396321,0.74377686,-0.60213006,0.97128844,3
344867408,344836074,396321,0.7674309,-0.577192,0.9796183,3
345422676,345365789,396321,0.79250586,-0.5479464,1.0021002,3
345913367,345895506,396321,0.816644,-0.526455,1.0147827,3
346361502,346349213,396321,0.8270043,-0.50216305,1.0010598,3
346831254,346803361,396321,0.84588385,-0.4430177,1.0450227,3
347428660,347408901,396321,0.84393895,-0.4062768,1.0509293,3
347877290,347862462,396321,0.8531992,-0.39700884,1.0696225,3
348346648,348313930,396321,0.83983827,-0.3779602,1.0699818,3
348901505,348843370,396321,0.8444628,-0.3441311,1.0837579,3
349392431,349370933,396321,0.8372128,-0.2982132,1.0980964,3
349840404,349822975,396321,0.808687,-0.25917923,1.0333657,3
350416408,350352620,396321,0.7349455,-0.23390889,1.0018083,3
350907485,350882311,396321,0.70998436,-0.19570823,0.984813,3
351355683,351335764,396321,0.6589712,-0.16147248,0.97722936,3
351910476,351860433,396321,0.6179299,-0.12447953,0.9474563,3
352401555,352386823,396321,0.5854943,-0.093595244,0.92424583,3
352870899,352839485,396321,0.54552233,-0.08104743,0.95206225,3
353426088,353365100,396321,0.50509363,-0.056180198,0.9690199,3
353916772,353893636,396321,0.4516231,-0.053883415,0.92969954,3
354364899,354347600,396321,0.40754145,-0.05259176,0.96197534,3
354813409,354801485,396321,0.36477175,-0.048343584,0.9012897,3
355431908,355406970,396321,0.31951362,-0.05490748,0.88806677,3
355880405,355858806,396321,0.29860675,-0.06882863,0.8980459,3
356328376,356309367,396321,0.27038884,-0.09729241,0.8251574,3
356925761,356910381,396321,0.24360265,-0.108486444,0.88292134,3
357395386,357362926,396321,0.19110312,-0.14362898,0.8638893,3
357843455,357817150,396321,0.16021273,-0.1653713,0.890201,3
358398230,358341260,396321,0.11924855,-0.20744257,0.83980054,3
358889228,358870507,396321,0.107075445,-0.24042766,0.87118757,3
359337348,359324394,396321,0.084626354,-0.2856089,0.8138325,3
359913450,359849689,396321,0.061679054,-0.30769464,0.74996614,3
360404505,360378090,396321,0.05781611,-0.35698318,0.7017964,3
360852646,360832355,396321,0.05167033,-0.37992895,0.635379,3
361407433,361361892,396321,0.075582646,-0.42468214,0.6489493,3
361919921,361888904,396321,0.108330965,-0.48553738,0.5904685,3
362368033,362337052,396321,0.12799798,-0.47862053,0.6352873,3
362923240,362863420,396321,0.13886213,-0.46267244,0.6642126,3
363413796,363393148,396321,0.17300995,-0.5240835,0.601724,3
363861823,363846894,396321,0.2687688,-0.59551114,0.5472846,3
364331785,364301042,396321,0.27168527,-0.5498468,0.6295526,3
364929002,364906365,396321,0.3176317,-0.5404351,0.6091998,3
365377590,365360378,396321,0.33233932,-0.5381049,0.64338803,3
365846900,365814176,396321,0.39269304,-0.5565916,0.65977156,3
366401677,366343714,396321,0.42311516,-0.56494987,0.62020564,3
366892754,366873294,396321,0.47402313,-0.53699076,0.71297634,3
367340823,367327141,396321,0.5173211,-0.5231186,0.710181,3
367916910,367855414,396321,0.54645705,-0.49214736,0.7476744,3
368407908,368381199,396321,0.57161355,-0.49144608,0.7317513,3
368856206,368835439,396321,0.60639346,-0.47022992,0.7851262,3
369410988,369362421,396321,0.6314443,-0.43718138,0.74054635,3
369902046,369889097,396321,0.6329447,-0.35916877,0.77447116,3
370371363,370343239,396321,0.6426716,-0.3592146,0.8437084,3
370926572,370872910,396321,0.65140676,-0.36415944,0.7164394,3
371417347,371402452,396321,0.6672839,-0.32098278,0.6791297,3
371887321,371856577,396321,0.6538135,-0.29435027,0.7190507,3
372335646,372310092,396321,0.65530753,-0.26884404,0.83151793,3
