timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
266202875,266202707,4259850,4325386,0.00018486868,0.000637454,1.8312254e-05,0.036482643,0.011101486,-0.06656283,5000,4862,0,2,0
266702925,266702756,4259850,4325386,-0.00036875418,0.00065948686,-0.00059908064,0.025157193,-0.0042523406,-0.07330619,5000,4862,0,2,0
267202977,267202806,4259850,4325386,-5.0052862e-05,-0.0012144818,1.9855937e-05,-0.010823961,0.0020858794,-0.079926506,5001,4862,0,2,0
267703139,267702855,4259850,4325386,0.0009930388,0.0002632767,0.00042885545,0.033011068,-0.013848297,-0.03655865,5000,7294,0,2,0
268203071,268202905,4259850,4325386,-6.77026e-05,-0.00062130095,-0.0002588614,0.018428104,-0.0014719613,-0.041874845,5001,4862,0,2,0
268703230,268702954,4259850,4325386,0.00039954728,0.00053812366,0.00036485493,0.0022285322,-0.009996869,-0.05033691,5000,4863,0,2,0
269203130,269203004,4259850,4325386,0.005262129,-0.0014295962,7.9855105e-05,-2.2186065e-05,0.0017035865,-0.05108674,5000,4863,0,2,0
269703323,269703054,4259850,4325386,0.003398835,0.0031125622,0.0016468209,0.00102043,-0.013437988,-0.079092465,5001,4863,0,2,0
270203229,270203103,4259850,4325386,-0.0037946575,0.0005179652,0.0027128006,-0.0026926321,-0.0013601797,-0.064871676,5000,4863,0,2,0
270703286,270703153,4259850,4325386,-0.0059892517,-0.0005451461,-0.0012622965,-0.0073767793,-0.0069922395,-0.03462484,5001,4863,0,2,0
271203348,271203203,4259850,4325386,-0.0013276138,0.00027275347,0.00017233576,0.0037409882,0.0056258724,-0.035304658,5001,4862,0,2,0
271703387,271703253,4259850,4325386,-0.0008935589,0.0006062638,-0.0014229916,-0.0012859575,0.005526943,-0.050578292,5001,4863,0,2,0
272203426,272203302,4259850,4325386,0.0014490966,0.00045589788,-0.00070711,-0.000771961,-0.013809834,-0.05273329,5000,4861,0,2,0
272703475,272703352,4259850,4325386,0.00016123222,0.0009259189,-0.000433395,0.0009979988,0.0064082793,-0.052383702,5000,4862,0,2,0
273203527,273203402,4259850,4325386,0.0011626439,0.0001461536,-0.0002619429,-0.0019752565,0.002203616,-0.049394596,5001,4861,0,2,0
273703577,273703452,4259850,4325386,0.00043971254,-6.9674e-05,-0.0002371808,-0.0038672455,0.005146482,-0.05207584,5001,4861,0,2,0
274203655,274203501,4259850,4325386,-0.0003736178,-0.00020827523,-0.00016946092,-0.0017717015,-0.00038541007,-0.05111778,5000,4862,0,2,0
274703686,274703551,4259850,4325386,0.0005940467,-0.00017468684,6.4427644e-05,0.0015424854,0.0074968836,-0.046254992,5000,4862,0,2,0
275203730,275203601,4259850,4325386,-0.00561888,-0.0006008257,2.6598987e-05,-0.0037917001,-0.00538267,-0.045634884,4998,4863,0,2,0
275703777,275703650,4259850,4325386,-0.006023331,0.0005194434,-0.0015734729,0.0005901581,0.0021134678,-0.04633239,5000,4862,0,2,0
276203843,276203700,4259850,4325386,-0.00021889897,0.0034705887,-0.0032345583,0.0060205082,-0.0066090976,-0.10995655,5001,4862,0,2,0
276703874,276703750,4259850,4325386,0.0004186671,0.0040880837,-0.0030503958,0.012794262,0.0028862408,-0.09141343,5001,4862,0,2,0
277203923,277203799,4259850,4325386,0.00053754833,0.0033798113,-0.0027816773,0.0014766438,-0.020243216,-0.10412148,5000,4861,0,2,0
277703974,277703848,4259850,4325386,-0.000905404,0.003168973,-0.0029121267,0.013804338,-0.013787911,-0.09223201,5000,4862,0,2,0
278204022,278203898,4259850,4325386,0.0011285645,0.0027764738,-0.0026495547,0.007689348,-0.022881161,-0.08659616,5000,4863,0,2,0
278704085,278703947,4259850,4325386,-0.00039842702,0.0026937046,-0.0023136325,0.014380636,-0.021377303,-0.13148826,5000,7293,0,2,0
279204122,279203997,4259850,4325386,0.0012437989,0.0027614438,-0.0029923439,0.013101825,-0.008720341,-0.061237965,5001,4862,0,2,0
279704169,279704046,4259850,4325386,0.005341651,-0.00022397749,-0.0003874587,-0.0035821067,-0.013670418,-0.038545985,5001,4862,0,2,0
280204219,280204095,4259850,4325386,0.0060983277,0.0008546871,-0.0005688401,-0.005668223,-0.0074002505,-0.04577955,5001,4863,0,2,0
280704267,280704144,4259850,4325386,0.0018624143,0.0022244416,0.0015999712,6.713141e-05,-0.003988244,-0.0630042,5001,4862,0,2,0
281204320,281204193,4259850,4325386,-0.0014137877,0.000665268,0.002171658,0.00028227028,-0.002946951,-0.10385229,5001,7293,0,2,0
281704368,281704241,4259850,4325386,-0.0006117976,0.00037083743,0.0003404729,-0.003496646,-0.014588031,-0.059210204,5000,4862,0,2,0
282204413,282204290,4259850,4325386,0.00036168477,0.0010831209,0.0017961309,0.0041152034,0.010170504,-0.05174505,5000,4863,0,2,0
282704464,282704339,4259850,4325386,-0.000973278,0.0010815269,0.0009866746,-0.0044216444,-0.009953618,-0.074189335,5001,5349,0,2,0
283199518,283199387,4259850,4325386,-6.8839254e-05,0.0011589059,0.0005831871,-0.0025729437,0.0018949257,-0.056940317,5001,4862,0,2,0
283704561,283704436,4259850,4325386,-7.4970216e-05,0.0006627191,0.0013003674,0.0012775359,0.004097692,-0.06996671,5001,7292,0,2,0
284204609,284204484,4259850,4325386,-0.0018744827,-4.77189e-05,0.00039390376,-0.003178273,-0.0022796157,-0.040395528,5000,4862,0,2,0
284704657,284704532,4259850,4325386,-0.0012060401,-0.00042098653,0.00035141283,-0.0058674132,-0.00019392885,-0.045268252,5000,4863,0,2,0
