timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
351791529,351692206,1.6884978,2.8795502,0.07872828,0.03695212,6.5048294,2.1455722,-0.15523508,0.09024129
352798959,352699739,1.6577798,2.879548,0.0784028,0.037287235,6.5048294,2.1455722,-0.13734448,0.09024805
353796644,353697393,1.6310683,2.882382,0.078006804,0.037588075,6.5048294,2.1455722,-0.116107665,0.090249866
354794268,354695048,1.6073298,2.8877144,0.07749202,0.0378367,6.5048294,2.1455722,-0.072933145,0.090251066
355791922,355692703,1.5945982,2.891729,0.07714992,0.038043387,6.5048294,2.1455722,-0.0475683,0.09024314
356789640,356690356,1.5867965,2.8953233,0.07691326,0.03820721,6.5048294,2.1455722,-0.033496477,0.09022118
357797210,357697888,1.5822315,2.8982325,0.07675615,0.038309146,6.5048294,2.1455722,0.0059124525,0.09021011
358794807,358695541,1.5893866,2.8923619,0.07677945,0.038392857,6.5048294,2.1455722,0.0889124,0.090202115
359792505,359693194,1.6005569,2.8774633,0.07690139,0.038455315,6.5048294,2.1455722,0.19593804,0.09020004
360790068,360690847,1.6073896,2.852896,0.07709657,0.03848062,6.5048294,2.1455722,0.24096185,0.0902127
361797713,361698378,1.5999748,2.829594,0.077292055,0.038548205,6.5048294,2.1455722,0.25860313,0.09021875
362795294,362696030,1.571467,2.8062956,0.07733667,0.038642082,6.5048294,2.1455722,0.24952298,0.09024844
363793300,363693684,1.5256336,2.7909567,0.07707251,0.03878354,6.5048294,2.1455722,0.29463586,0.09030254
364790658,364691334,1.4605978,2.7867596,0.07639557,0.038965836,6.5048294,2.1455722,0.257509,0.09037035
365798080,365698863,1.4023244,2.7928066,0.0753383,0.039127585,6.5048294,2.1455722,0.16544248,0.090389684
366795794,366696514,1.3553469,2.8045127,0.0739437,0.039183073,6.5048294,2.1455722,0.1213004,0.09042308
367793407,367694165,1.3313532,2.8144605,0.07285759,0.039115094,6.5048294,2.1455722,0.061941165,0.09040346
368791236,368691817,1.3265811,2.8164675,0.07208561,0.0389433,6.5048294,2.1455722,-0.022132028,0.09035992
369798560,369699343,1.3241553,2.8183792,0.07162186,0.038643915,6.5048294,2.1455722,0.014900264,0.09031363
370796225,370696993,1.3302566,2.8100984,0.07155358,0.038384035,6.5048294,2.1455722,-0.062743686,0.09027391
371793859,371694643,1.3325746,2.8011928,0.07164841,0.038181674,6.5048294,2.1455722,-0.07111626,0.09023965
372791978,372692293,1.328918,2.7856748,0.071749106,0.038012467,6.5048294,2.1455722,-0.13208531,0.0902353
373799350,373699819,1.3146836,2.7697763,0.07173768,0.03797719,6.5048294,2.1455722,-0.14792953,0.09023446
374796747,374697468,1.2939509,2.7579982,0.07157106,0.038014702,6.5048294,2.1455722,-0.15912193,0.090239644
375794715,375695117,1.2623175,2.7499132,0.07116125,0.03809988,6.5048294,2.1455722,-0.15271042,0.09025162
376792583,376692766,1.2348819,2.7476015,0.07070547,0.038213614,6.5048294,2.1455722,-0.13611978,0.09025992
377789740,377690414,1.2078952,2.748969,0.07018542,0.03832706,6.5048294,2.1455722,-0.12577292,0.09026168
378797695,378697939,1.1836523,2.7529411,0.06956965,0.038420144,6.5048294,2.1455722,-0.085388556,0.0902631
379794945,379695587,1.1679531,2.7575173,0.06910228,0.038485732,6.5048294,2.1455722,-0.072383374,0.09025974
380793147,380693236,1.1591293,2.760927,0.06872327,0.038522486,6.5048294,2.1455722,-0.02646131,0.090245515
381790404,381690882,1.159007,2.7616105,0.06846521,0.038531557,6.5048294,2.1455722,-0.019352729,0.09023561
382798201,382698407,1.1614367,2.7603662,0.06830441,0.03849042,6.5048294,2.1455722,0.04809922,0.090221785
383795453,383696055,1.1650019,2.7563577,0.0683204,0.038496114,6.5048294,2.1455722,0.062767155,0.09022218
384793409,384693700,1.1618233,2.756795,0.0684311,0.03860995,6.5048294,2.1455722,0.062767155,0.09022218
385790625,385691346,1.156646,2.7574656,0.06854668,0.03872974,6.5048294,2.1455722,0.062767155,0.09022218
386798703,386698870,1.1602376,2.7577431,0.0686659,0.038852762,6.5048294,2.1455722,0.062767155,0.09022218
387795827,387696516,1.1626664,2.7579498,0.06878465,0.038972706,6.5048294,2.1455722,0.062767155,0.09022218
388793404,388694161,1.1620983,2.7572763,0.06890128,0.039089594,6.5048294,2.1455722,0.062767155,0.09022218
389791170,389691807,1.161177,2.7570498,0.06901035,0.039199058,6.5048294,2.1455722,0.062767155,0.09022218
390798673,390699330,1.1604967,2.7564895,0.06915482,0.03934401,6.5048294,2.1455722,0.062767155,0.09022218
391796186,391696975,1.1598378,2.755989,0.06932927,0.039518982,6.5048294,2.1455722,0.062767155,0.09022218
392793908,392694620,1.1594523,2.75547,0.06952465,0.039714918,6.5048294,2.1455722,0.062767155,0.09022218
393376703,393277403,1.1596755,2.75538,0.06963828,0.039828945,6.5048294,2.1455722,0.062767155,0.09022218
