"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
0,4,1377700065.40281,36.662317,126.341679,11.4
0,4,1377700065.6029,36.662293,126.341702,11.3
0,4,1377700065.803,36.662269,126.341725,11.1
0,4,1377700066.00286,36.662244,126.341748,10.9
0,4,1377700066.21296,36.662217,126.341771,10.8
0,4,1377700066.40308,36.662191,126.341791,10.6
0,4,1377700066.6029,36.662163,126.341811,10.5
0,4,1377700066.80307,36.662135,126.34183,10.5
0,4,1377700067.00307,36.662106,126.341847,10.6
0,4,1377700067.20299,36.662076,126.341864,10.7
0,4,1377700067.40304,36.662046,126.34188,10.9
0,4,1377700067.61314,36.662014,126.341896,11
