"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
1,2,1377696501.53821,36.661088,126.343259,51
1,2,1377696501.73817,36.661096,126.3433,50.9
1,2,1377696501.94823,36.661105,126.343342,50.7
1,2,1377696502.14833,36.661113,126.343383,50.5
1,2,1377696502.34831,36.661122,126.343424,50.3
1,2,1377696502.54835,36.661131,126.343465,50.2
1,2,1377696502.74847,36.66114,126.343506,50
1,2,1377696502.93847,36.661149,126.343545,49.9
1,2,1377696503.13843,36.661158,126.343586,49.7
1,2,1377696503.34851,36.661168,126.34363,49.6
1,2,1377696503.54857,36.661177,126.343672,49.5
1,3,1377696503.74858,36.661186,126.343713,49.4
1,3,1377696503.94866,36.661195,126.343754,49.3
1,3,1377696504.13865,36.661203,126.343794,49.3
1,3,1377696504.33871,36.661211,126.343836,49.3
1,3,1377696504.53877,36.66122,126.343877,49.3
1,3,1377696504.73878,36.661228,126.343919,49.3
1,3,1377696504.94882,36.661237,126.343962,49.2
1,3,1377696505.14891,36.661246,126.344003,49.1
1,3,1377696505.34891,36.661257,126.344044,49
1,3,1377696505.539,36.661269,126.344081,48.9
1,3,1377696505.73904,36.661286,126.344118,48.8
1,3,1377696505.93909,36.661308,126.34415,48.8
1,3,1377696506.14907,36.661334,126.344177,48.9
1,3,1377696506.34916,36.661364,126.344196,49.1
1,3,1377696506.54915,36.661397,126.344207,49.5
1,3,1377696506.73922,36.66143,126.34421,49.8
1,3,1377696506.93929,36.661464,126.344205,50.3
1,3,1377696507.13935,36.661496,126.344192,50.7
1,3,1377696507.33935,36.661528,126.344172,51.1
1,3,1377696507.54947,36.661558,126.344145,51.4
1,3,1377696507.74941,36.661584,126.344113,51.7
1,3,1377696507.94952,36.661606,126.344076,51.9
1,3,1377696508.13954,36.661622,126.344037,52
1,3,1377696508.33953,36.661635,126.343993,52.1
1,3,1377696508.53962,36.661642,126.343945,52.2
1,3,1377696508.73973,36.661643,126.343898,52.3
1,3,1377696508.94969,36.66164,126.343847,52.3
1,3,1377696509.14975,36.661634,126.343798,52
1,3,1377696509.3398,36.661627,126.343752,51.7
1,3,1377696509.5398,36.661619,126.343703,51.1
1,3,1377696509.73987,36.661612,126.343654,50.5
1,3,1377696509.93991,36.661606,126.343603,50
1,3,1377696510.13991,36.661602,126.343553,49.6
1,3,1377696510.34996,36.6616,126.343499,49.1
1,3,1377696510.55005,36.6616,126.343448,48.8
1,3,1377696510.74006,36.661603,126.3434,48.6
1,3,1377696510.94007,36.661609,126.343349,48.5
1,3,1377696511.14019,36.661615,126.3433,48.4
1,3,1377696511.34016,36.661624,126.343249,48.3
1,3,1377696511.54019,36.661633,126.343201,48.3
1,3,1377696511.75026,36.661645,126.34315,48.3
1,3,1377696511.9403,36.661658,126.343105,48.3
1,3,1377696512.14032,36.661673,126.343059,48.4
1,3,1377696512.34039,36.661689,126.343013,48.4
1,3,1377696512.54044,36.661706,126.342969,48.5
1,3,1377696512.74047,36.661725,126.342925,48.5
1,3,1377696512.94052,36.661745,126.342882,48.6
1,3,1377696513.15055,36.661766,126.342838,48.6
1,3,1377696513.34056,36.661787,126.342799,48.5
1,3,1377696513.54064,36.661808,126.342758,48.5
1,3,1377696513.74065,36.661831,126.342718,48.4
1,3,1377696513.94069,36.661854,126.342678,48.4
1,3,1377696514.14082,36.661877,126.34264,48.4
1,3,1377696514.34077,36.661901,126.342601,48.3
1,3,1377696514.5408,36.661925,126.342563,48.2
1,3,1377696514.74092,36.661949,126.342525,48.1
1,3,1377696514.94089,36.661974,126.342487,48
1,3,1377696515.14096,36.661998,126.342449,48
1,3,1377696515.34103,36.662022,126.342411,48
1,3,1377696515.54101,36.662047,126.342374,48
1,3,1377696515.74107,36.662072,126.342336,48
1,3,1377696515.94113,36.662097,126.342298,47.9
1,3,1377696516.14118,36.662122,126.34226,47.8
1,3,1377696516.34117,36.662147,126.342222,47.7
1,3,1377696516.54124,36.662172,126.342184,47.7
1,3,1377696516.74129,36.662196,126.342146,47.6
1,3,1377696516.9413,36.662221,126.342108,47.5
1,3,1377696517.14141,36.662246,126.34207,47.5
1,3,1377696517.34138,36.662271,126.342031,47.5
1,3,1377696517.54142,36.662296,126.341993,47.5
1,3,1377696517.74152,36.662321,126.341955,47.5
1,3,1377696517.94149,36.662346,126.341917,47.5
